pid,name,description,num_tracks,num_artists,num_albums,num_followers,collaborative,modified_at,popularity_bucket
969308,Elvis Costello,,194,3,37,778,false,1449619200,moderate
62957,Ellie Goulding,,57,6,16,154,false,1425081600,moderate
577009,Rap Playlist,,74,51,60,455,false,1474848000,moderate
507221,Spotify and Chill,,18,18,18,315,false,1447718400,moderate
214454,october,,30,23,23,124,false,1395878400,moderate
710636,Unforgettable,,20,18,18,839,false,1495238400,moderate
922264,2014,,18,15,17,134,false,1467590400,moderate
952055,PAINT,,52,51,52,287,false,1508198400,moderate
818686,Lucero,,224,5,22,286,false,1478822400,moderate
355541,Chansons Francaises,,140,85,121,552,false,1498608000,moderate
615716,grlpwr.,,50,49,50,174,false,1403568000,moderate
357017,summer tunes,lil jams to spice up your summer,199,113,147,100,false,1502841600,moderate
360122,Fun music,,237,125,168,483,false,1508112000,moderate
230978,Inspirations,,28,23,26,515,false,1409184000,moderate
285618,Spring 2017,,82,55,66,190,false,1499904000,moderate
541366,Wicked Games,,40,31,35,380,false,1507334400,moderate
61634,🔥🔥,,10,10,10,867,false,1489449600,moderate
33783,nick,,31,27,29,216,false,1491350400,moderate
21486,sad chill,,19,14,15,448,false,1416355200,moderate
118504,ROLLING,,80,61,65,858,false,1447286400,moderate
72706,CLASSICAL,,23,17,21,125,false,1450224000,moderate
194940,In My Mind,"From old to new, these songs have steadily remained some of my favorites. Bringing back some of my best memories, I hope they create some great ones for you.",33,23,24,535,false,1487808000,moderate
581930,Summer '16,,36,26,32,234,false,1470268800,moderate
184692,Work It Out!,These are songs that get me moving!,8,8,8,193,false,1442275200,moderate
850937,angry music,,162,62,110,503,false,1379635200,moderate
875956,Brittany ,,28,25,26,1,false,1503532800,niche / personal
555261,21,,39,29,36,1,false,1415923200,niche / personal
940286,WeD,,92,60,77,1,false,1507334400,niche / personal
805151,🇲🇽,,242,117,188,1,false,1502323200,niche / personal
468658,80's,,29,27,29,2,false,1401667200,niche / personal
390006,Don't Stop Believin',,40,29,37,1,false,1509235200,niche / personal
675143,Airplane mode,,40,27,33,2,false,1489104000,niche / personal
135247,Feel Good Oldies,,50,40,47,2,false,1453766400,niche / personal
191951,Frozen,,10,7,2,1,false,1389484800,niche / personal
255440,good vibes ,,94,71,85,1,false,1503273600,niche / personal
326912,Poolside,,63,44,55,1,false,1438905600,niche / personal
772073,Running,,13,11,11,2,false,1407542400,niche / personal
249107,Gloom,,94,76,83,1,false,1505520000,niche / personal
340901,like,,170,141,162,2,false,1509148800,niche / personal
309177,disneyyy,,13,9,10,1,false,1486339200,niche / personal
182730,california,,77,58,66,3,false,1439337600,niche / personal
203079,Jesus,,77,33,52,1,false,1469232000,niche / personal
983106,Film Scores,,99,35,72,4,false,1505001600,niche / personal
505658,Car rides,,62,48,55,1,false,1501200000,niche / personal
734654,Rap,,17,16,17,1,false,1502236800,niche / personal
397048,WORK OUT,,37,29,36,1,false,1448582400,niche / personal
769503,my music ,,9,9,9,1,false,1465603200,niche / personal
525984,white trash,,25,20,23,2,false,1507939200,niche / personal
197670,zac brown band,,20,4,9,1,false,1496793600,niche / personal
35004,Back in the day,,75,60,69,1,false,1439769600,niche / personal
887998,Baila,,15,13,14,1,false,1497225600,niche / personal
384563,Rock Playlist ,,72,43,59,1,false,1496534400,niche / personal
635613,Lake,,55,24,45,1,false,1404259200,niche / personal
797048,World,,25,22,24,1,false,1500336000,niche / personal
378754,road trip,,247,141,191,1,false,1445385600,niche / personal
